company_name,domain,domain_status,domain_source,original_domain,heavy_equipment_icp,category,us_based,website_title,evidence
"4X4, LLC CRANE SERVICES",,no_website,,,Yes,crane service,unknown,,state none; no usable site
513 Crane,513crane.com,likely,original,513crane.com,Yes,crane service,unknown,Just a moment...,513crane.com blocked; domain matches name
777 Rentals | Equipment and Trailer Rentals in Dallas,777-rentals.com,verified,original (confirmed),777-rentals.com,Yes,construction equipment rental,unknown,777 Rentals | Equipment & Trailer Rentals,title: '777 Rentals | Equipment & Trailer Rentals'
7S Crane Service,7scraneservice.com,verified,original (confirmed),7scraneservice.com,Yes,crane service,unknown,7S Crane Service | Operated Crane Rental,title: '7S Crane Service | Operated Crane Rental'
808 Crane Rentals And Sales INC,808crane.com,verified,original (confirmed),808crane.com,Yes,crane service,yes,808-Crane-Rentals-and-Sales-INC – Mobile Tower Crane Rental on Maui & Oahu,title: '808-Crane-Rentals-and-Sales-INC – Mobile Tower Crane Re'
A-1 Crane,sacramentocraneservice.com,verified,original (confirmed),sacramentocraneservice.com,Yes,crane / rigging service,yes,"Best Crane Service in Citrus Heights, Rancho Cordova, Davis, Folsom, Sacramento, CA","site: Best Crane Service in Citrus Heights, Rancho Cordova, Davis, Folsom, S"
A-1 Crane Service,a1crane.net,verified,replaced original,a-1crane.com,Yes,crane service,unknown,"A-1 Crane Service | Tree Service | Redding, CA","title: 'A-1 Crane Service | Tree Service | Redding, CA'"
A-1 Crane Service Inc,a1craneserviceinc.com,verified,original (confirmed),a1craneserviceinc.com,Yes,crane service,yes,"A-1 Crane Service Inc | Crane Rental | Pocatello, ID","title: 'A-1 Crane Service Inc | Crane Rental | Pocatello, ID'"
A-1 Crane Services,a-1cranes.com,verified,found,,Yes,crane / rigging service,yes,A1 Crane Service | San Diego | Available 24/7 - Competitive Rates,site: A1 Crane Service | San Diego | Available 24/7 - Competitive Rates
A-1 Forklifts,a1forkliftsrc.com,verified,original (confirmed),a1forkliftsrc.com,Yes,aerial lift / telehandler,yes,Home - A-1 Forklifts,site: Home - A-1 Forklifts
A&A Crane & Rigging,smallcraneservicenewyork.com,likely,original,smallcraneservicenewyork.com,Yes,crane service,yes,Bucket Trucks for Rent in New York | Small Crane Service NYC,title: 'Bucket Trucks for Rent in New York | Small Crane Servic'
A C Crane Service,accraneservice.com,likely,found,,Yes,crane service,unknown,,desc: ''
A Superior Crane,superiorcrane.info,verified,original (confirmed),superiorcrane.info,Yes,crane service,yes,"Certified Crane Operator | Atascadero, CA | A Superior Crane","title: 'Certified Crane Operator | Atascadero, CA | A Superior '"
A~Z Crane Service,azcraneservices.com,likely,found,,Yes,crane service,unknown,azcraneservices.com,title: 'azcraneservices.com'
A1 Skid Steer Service,a1skidsteerservice.com,verified,original (confirmed),a1skidsteerservice.com,Yes,construction equipment dealer / rental,yes,"A1 Skid Steer Service - Ormond Beach, Florida","site: A1 Skid Steer Service - Ormond Beach, Florida"
Above All Equipment,aboveallequipmentsales.com,verified,original (confirmed),aboveallequipmentsales.com,Yes,aerial lift / telehandler,yes,Above All Equipment Sales | Aerial Lifts for Sale,site: Above All Equipment Sales | Aerial Lifts for Sale
Above All Rentals,aboveallrentalsut.com,verified,original (confirmed),aboveallrentalsut.com,Yes,construction equipment rental,yes,"Above All Rentals | ATV, Equipment, & Outdoor Gear Rentals in North Ogden, UT","title: 'Above All Rentals | ATV, Equipment, & Outdoor Gear Rent'"
Advanced Equipment Group,,no_website,original removed,aegheavyequipment.com,Yes,heavy equipment dealer,unknown,,listed domain belongs to another business; expireddomains.com is other business: 'aegheavyequipment.com — Moz DA 3 aged domain | ED.com'
Aerial Lifts Rental,aerialliftsrental.com,verified,found,,Yes,construction equipment dealer / rental,yes,"Home
 | Aerial Lifts Rental","site: Home
 | Aerial Lifts Rental"
Affordable Crane Service,,no_website,original removed,affordablecrane.com,Yes,crane service,unknown,,state parked; no usable site (affordablecrane.com)
Albatross Crane,albatrosscrane.com,verified,original (confirmed),albatrosscrane.com,Yes,crane / rigging service,yes,Home - Albatross Crane,site: Home - Albatross Crane
Albert Equipment Sales,albertequipmentsales.com,likely,original,albertequipmentsales.com,Yes,equipment dealer,unknown,Just a moment...,albertequipmentsales.com blocked; domain matches name
