company_name,original_domain,domain,domain_status,domain_confidence,heavy_equipment,category,qualification_source,us_based,notes,issue_flagged
24/7 PRO DRAIN ROOTER PLUMBING SERVICE AND REPAIR.,,,not_found,low,No,plumbing,web search,unknown,No exact-name own site found; only similar rooter companies,missing
24H Mold Inspection of Palos Verdes,24hmoldinspection.com,24hmoldinspection.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""mold""",
3rd Coast Rentals,3rdcoastrental.com,3rdcoastrental.com,original,,Yes,construction equipment rental,AI review (name/domain),,"Texas rental yard, construction equipment",
406 Mobility Rentals LLC,406mobility.com,406mobility.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""mobility""",
4Rent Renta De Maquinaria Y Equipo,maquinaria4rent.com,maquinaria4rent.com,original,,Yes,,name/domain rules,,"name: ""maquinaria""",
"4X4, LLC CRANE SERVICES",,,not_found,low,Yes,crane service,web search,unknown,"No company site found for 4X4, LLC crane services",missing
513 Crane,513crane.com,513crane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
777 Rentals | Equipment and Trailer Rentals in Dallas,777-rentals.com,777-rentals.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
7S Crane Service,7scraneservice.com,7scraneservice.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
808 Crane Rentals And Sales INC,808crane.com,808crane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
A-1 Crane,sacramentocraneservice.com,sacramentocraneservice.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
A-1 Crane Service,a-1crane.com,a-1crane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
A-1 Crane Service Inc,a1craneserviceinc.com,a1craneserviceinc.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
A-1 Crane Services,,,not_found,low,Yes,crane service,web search,yes,"Many same-name A-1 Crane firms (CA, WI, ID, IA); ambiguous, no location",missing
A-1 Forklifts,a1forkliftsrc.com,a1forkliftsrc.com,original,,Yes,,name/domain rules,,"name: ""fork lifts""",
A&A Crane & Rigging,smallcraneservicenewyork.com,smallcraneservicenewyork.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
A & A Equipment Rental,,,not_found,low,Yes,construction equipment rental,web search,unknown,"Several A&A rental firms (VA, TX, PA); none exact name",missing
A&A Event Rentals,aaevent-rentals.com,aaevent-rentals.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""events""",
A&B Party Rentals,,abpartyrent.com,found,medium,No,party rental,web search,yes,"A&B Party Rentals, Willards MD; matches FB abpartyrent; other same-name firms exist",missing
A C Crane Service,,accranesanjose.com,found,low,Yes,crane service,web search,yes,A/C Crane Service LLC San Jose; other AC Crane firms exist,missing
A.G.K Chair & Party Rentals,,,not_found,low,No,party rental,web search,unknown,No A.G.K Chair & Party Rentals site found,missing
A&G party rental,partyrentalag.com,partyrentalag.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""party""",
"A.L.'s BIG Air, LLC",alsbigair.com,alsbigair.com,original,,No,party rental,AI review (name/domain),,Inflatables,
A & S Party Rental LLC.,asplayzone.com,asplayzone.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""party""",
A Superior Crane,superiorcrane.info,superiorcrane.info,original,,Yes,,name/domain rules,,"name: ""cranes""",
A Trio Rentals & Balloons,thesignaturebar.my.canva.site,,not_found,medium,No,party rental,web search,yes,Leominster MA; only Facebook page; canva site is different business,platform/listing domain
A~Z Crane Service,,athruzcranes.com,found,low,Yes,crane service,web search,yes,"A-Z Cranes site; multiple A-Z Crane firms (FL, AZ, TX)",missing
A1 Skid Steer Service,a1skidsteerservice.com,a1skidsteerservice.com,original,,Yes,,name/domain rules,,"name: ""skid steer""",
Above All Equipment,aboveallequipmentsales.com,aboveallequipmentsales.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Above All Rentals,aboveallrentalsut.com,aboveallrentalsut.com,original,,Yes,general equipment rental,AI review (name/domain),,Utah rentals incl. equipment,
AC Power Production,acpowerproduction.com,acpowerproduction.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""ac""",
Accurate One Construction,coachellavalleywaterheaterrepair.com,accurateoneca.com,replaced,medium,No,remodel/plumbing contractor,web search,yes,Accurate One Construction Palm Desert CA official site,domain does not match name
Ace Services LLC,aceserviceswv.com,aceserviceswv.com,original,,Unsure,services,AI review (name/domain),,Unclear service company,
ACF Rentals,acfrental.com,acfrental.com,original,,Yes,construction equipment rental,AI review (name/domain),,Equipment rental,
Advance Solutions,advancesolutions.co.in,advancesolutionsusa.com,replaced,low,No,medical equipment,web search,yes,"Advance Solutions USA Medical Supply, CA; .co.in is Indian firm",non-US domain
Advanced Equipment Group,aegheavyequipment.com,aegheavyequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Aerial Lifts Rental,,,not_found,low,Yes,aerial lift rental,web search,unknown,Generic name; no specific company site identified,missing
AET PRO'S,aetpros.com,aetpros.com,original,,No,HVAC,AI review (name/domain),,HVAC pros,
Affordable Crane Service,affordablecrane.com,affordablecrane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Affordable Heavy Equipment LLC,,,not_found,low,Yes,heavy equipment dealer,web search,unknown,No exact Affordable Heavy Equipment LLC site found,missing
Air Bounce Moonwalk Rentals,,,not_found,medium,No,party rental,web search,yes,Hoffman Estates IL; only Yelp/Yahoo listings found,missing
Air Performance Heating & Cooling,airperformanceheating.net,airperformanceheating.net,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""heating""",
Air Swing Golf,airswinggolf.com,airswinggolf.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""golf""",
Albatross Crane,albatrosscrane.com,albatrosscrane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Albert Equipment Sales,albertequipmentsales.com,albertequipmentsales.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
All about bounce inflatables inc.,allaboutbounceinflatables.com,allaboutbounceinflatables.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""bounce""",
All About Fun Rentals,allaboutfunrentals.com,allaboutfunrentals.com,original,,No,party rental,AI review (name/domain),,Fun rentals,
