company_name,domain,domain_status,domain_source,original_domain,heavy_equipment_icp,category,us_based,website_title,evidence
24/7 PRO DRAIN ROOTER PLUMBING SERVICE AND REPAIR.,,no_website,,,No,plumbing,unknown,,state none; no usable site
24H Mold Inspection of Palos Verdes,24hmoldinspection.com,verified,original (confirmed),24hmoldinspection.com,No,mold inspection,yes,Certified Mold Inspection & Testing | 24H Mold Inspection,title: 'Certified Mold Inspection & Testing | 24H Mold Inspecti'
3rd Coast Rentals,3rdcoastrental.com,verified,original (confirmed),3rdcoastrental.com,No,boat rental,yes,Boat Rentals Muskegon MI | 3rd Coast Boat Rentals,title: 'Boat Rentals Muskegon MI | 3rd Coast Boat Rentals'
406 Mobility Rentals LLC,406mobility.com,verified,original (confirmed),406mobility.com,No,mobility scooter rental,yes,Electric Mobility Scooter Rental Services | 406 Mobility,title: 'Electric Mobility Scooter Rental Services | 406 Mobilit'
4Rent Renta De Maquinaria Y Equipo,maquinaria4rent.com,verified,original (confirmed),maquinaria4rent.com,Yes,construction equipment rental,no,Renta de maquinaria pesada en Nuevo Laredo - 4RENT RENTA DE MAQUINARIA Y EQUIPO,title: 'Renta de maquinaria pesada en Nuevo Laredo - 4RENT RENT'
"4X4, LLC CRANE SERVICES",,no_website,,,Yes,crane service,unknown,,state none; no usable site
513 Crane,513crane.com,likely,original,513crane.com,Yes,crane service,unknown,Just a moment...,513crane.com blocked; domain matches name
777 Rentals | Equipment and Trailer Rentals in Dallas,777-rentals.com,verified,original (confirmed),777-rentals.com,Yes,construction equipment rental,unknown,777 Rentals | Equipment & Trailer Rentals,title: '777 Rentals | Equipment & Trailer Rentals'
7S Crane Service,7scraneservice.com,verified,original (confirmed),7scraneservice.com,Yes,crane service,unknown,7S Crane Service | Operated Crane Rental,title: '7S Crane Service | Operated Crane Rental'
808 Crane Rentals And Sales INC,808crane.com,verified,original (confirmed),808crane.com,Yes,crane service,yes,808-Crane-Rentals-and-Sales-INC – Mobile Tower Crane Rental on Maui & Oahu,title: '808-Crane-Rentals-and-Sales-INC – Mobile Tower Crane Re'
A-1 Crane,sacramentocraneservice.com,verified,original (confirmed),sacramentocraneservice.com,Yes,crane / rigging service,yes,"Best Crane Service in Citrus Heights, Rancho Cordova, Davis, Folsom, Sacramento, CA","site: Best Crane Service in Citrus Heights, Rancho Cordova, Davis, Folsom, S"
A-1 Crane Service,a1crane.net,verified,replaced original,a-1crane.com,Yes,crane service,unknown,"A-1 Crane Service | Tree Service | Redding, CA","title: 'A-1 Crane Service | Tree Service | Redding, CA'"
A-1 Crane Service Inc,a1craneserviceinc.com,verified,original (confirmed),a1craneserviceinc.com,Yes,crane service,yes,"A-1 Crane Service Inc | Crane Rental | Pocatello, ID","title: 'A-1 Crane Service Inc | Crane Rental | Pocatello, ID'"
A-1 Crane Services,a-1cranes.com,verified,found,,Yes,crane / rigging service,yes,A1 Crane Service | San Diego | Available 24/7 - Competitive Rates,site: A1 Crane Service | San Diego | Available 24/7 - Competitive Rates
A-1 Forklifts,a1forkliftsrc.com,verified,original (confirmed),a1forkliftsrc.com,Yes,aerial lift / telehandler,yes,Home - A-1 Forklifts,site: Home - A-1 Forklifts
A&A Crane & Rigging,smallcraneservicenewyork.com,likely,original,smallcraneservicenewyork.com,Yes,crane service,yes,Bucket Trucks for Rent in New York | Small Crane Service NYC,title: 'Bucket Trucks for Rent in New York | Small Crane Servic'
A & A Equipment Rental,aaequipmentrentalinc.com,likely,found,,Unsure,equipment rental,unknown,Redirecting...,title: 'Redirecting...'
A&A Event Rentals,aaeventrentals.com,verified,replaced original,aaevent-rentals.com,No,party rental,unknown,Home,title: 'Home'
A&B Party Rentals,abpartyrent.com,verified,found,,No,party / event rental,yes,Party Rentals on the Eastern Shore | A&B Party Rentals MD,site: Party Rentals on the Eastern Shore | A&B Party Rentals MD
A C Crane Service,accraneservice.com,likely,found,,Yes,crane service,unknown,,desc: ''
A.G.K Chair & Party Rentals,,no_website,,,No,party rental,unknown,,state none; no usable site
A&G party rental,partyrentalag.com,verified,original (confirmed),partyrentalag.com,No,party / event rental,yes,"A&G Party Rental - Bounce Houses, Tents & Party Rentals Houston TX","site: A&G Party Rental - Bounce Houses, Tents & Party Rentals Houston TX"
"A.L.'s BIG Air, LLC",alsbigair.com,verified,original (confirmed),alsbigair.com,No,bounce houses,yes,Al's Big Air Palm Coast FL - Party Rental and Bounce House Rental,title: Al's Big Air Palm Coast FL - Party Rental and Bounce House Rent
A & S Party Rental LLC.,asplayzone.com,verified,original (confirmed),asplayzone.com,No,party / event rental,yes,"Bounce House Rentals, Party Rentals,Tent Rentals, Wedding Rentals, Cincinnati, Dayton, Ohio, Inflatables","site: Bounce House Rentals, Party Rentals,Tent Rentals, Wedding Rentals, Cin"
